Country,Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Bahrain,BHR,0.85269044,-2.348922626,-1.935982917,0.349253322,0.3884213,-0.353001993,-1.227455489,0.19212071,-1.258466559,-3.554145384,-0.356550281,-0.991765171,1.989467972,4.207418678,2.70680579,-0.187595037,-0.359639348,-0.475473382,-2.767804861,-2.322520858,-8.455370499
"Bahamas, The",BHS,2.757758765,1.074343535,1.02250922,-2.988092112,-0.942616316,1.499854312,0.601739307,-0.464110317,-4.112026117,-5.798457819,0.011888723,-0.686873073,1.953317899,-4.524239256,1.332399988,0.619177352,-0.894872291,0.606496418,1.731469038,-0.293225395,-15.3322771
Bosnia and Herzegovina,BIH,12.5302994,2.305003845,4.919186896,3.790111807,6.268349492,3.865777043,5.411483997,5.931143235,5.683408378,-2.528921524,1.695002033,2.181253882,0.724336969,4.15191548,2.911120618,4.674687895,4.462656369,4.240509741,4.601625193,3.545337395,-2.601434704
Belarus,BLR,6.299636448,5.263892131,5.716082411,7.794917912,12.21261832,10.14976717,10.6755868,9.099459979,10.58130499,0.446705796,8.034088134,5.625881186,1.846520268,1.042243413,1.669279929,-3.957251254,-2.611913805,2.644807522,3.369991519,1.604818192,-0.479446185
Belize,BLZ,9.212347182,1.497699826,1.811010959,6.47638111,2.103835843,-0.674807736,2.112534896,-2.074775139,0.861932837,-2.277345824,0.508814503,-0.480053247,0.068796758,-0.96381635,1.782739875,0.487997242,-2.061066621,-0.184795031,0.946112739,-0.135066237,-15.58274144
Bermuda,BMU,8.348324206,6.071369138,-2.116731681,2.736271274,1.655071335,1.018079897,4.940272519,2.763815335,-2.444780256,-6.148629405,-1.736363236,-2.907850829,-5.647262748,-0.591137895,-3.903606108,0.622598427,0.3938692,4.716102205,-0.504455912,0.469320878,-6.329424296
Bolivia,BOL,0.544854523,-0.235740274,0.579784521,0.831475281,2.298390878,2.574925411,2.977253409,2.78136714,4.368494273,1.649164361,2.429302312,3.511073964,3.453658407,5.127593123,3.843749862,3.282698937,2.731976347,2.696155231,2.752163462,0.796516094,-10.07858035
Brazil,BRA,2.911826435,0.013370861,1.709470966,-0.122933724,4.497077063,2.026304229,2.834758484,4.974701896,4.054410664,-1.081942369,6.524370056,3.026401969,1.014540821,2.108885848,-0.352483145,-4.351475066,-4.069410924,0.50833798,0.988960033,0.651853446,-4.740553195
Barbados,BRB,4.040958449,-2.71767289,0.444959659,1.837293191,1.060891029,3.565323666,5.461876364,1.7525013,0.253184616,-5.469843228,-2.641107072,-0.973739962,-0.70508296,-1.613257346,-0.310745172,2.268455267,2.309812032,0.323816531,-0.722886472,-0.22875084,-19.07818762
Brunei Darussalam,BRN,0.703316971,0.667930264,1.853226242,1.005462767,-1.212258392,-1.173658313,2.945644508,-1.102134932,-3.090072107,-2.911932071,1.349722742,2.413739982,-0.430143838,-3.437019985,-3.784519654,-1.625373519,-3.610898643,0.209044442,-0.992460953,2.829690022,0.165658548
Bhutan,BTN,1.059276076,6.082152837,8.761355447,5.794230755,4.188464354,5.644230192,5.590227761,17.03122085,3.748050248,5.691125069,10.77450932,6.768527697,3.877054941,0.875815244,4.479321287,5.348258203,6.83236706,3.408611367,1.848487752,4.549737285,-11.0690288
Botswana,BWA,-0.064863831,-1.625584261,4.205109672,2.831243212,0.893974819,2.607174833,6.189759782,5.993576872,4.017076034,-9.442021048,6.727326038,4.559247783,3.219551903,10.10178009,2.849377993,-7.144643802,5.093862034,1.873881526,1.720434373,0.773637549,-10.35764812
Central African Republic,CAF,-4.696612815,2.174635926,1.433283274,-7.324447321,3.88836103,-1.053217533,2.743504181,2.615832214,0.254331009,6.978712515,3.458709217,3.443004,4.632922101,-36.55691955,-0.282695893,3.663704303,3.722777874,3.200452519,2.224675451,1.289461367,-0.936836488
Canada,CAN,3.945218564,0.309869781,2.303577137,2.879569828,2.948998271,4.008877889,3.118693069,5.835793375,-0.080294839,-4.030419849,1.949628189,2.142309009,0.663247995,1.253613813,1.841026124,-0.089285801,-0.135842621,1.811114549,1.33547089,0.448132391,-6.259992165
Central Europe and the Baltics,CEB,4.543143218,3.828312784,4.285103186,4.411876465,6.126851766,5.305766637,6.858985417,6.820345004,4.300774651,-3.312885011,2.066260181,3.309214867,0.9943884,1.455574042,3.199952307,4.18749728,3.334143939,5.138074394,4.69665312,4.214359639,-3.677091821
Switzerland,CHE,3.393747681,0.935103969,-0.759080084,-0.78567427,2.11713012,2.225677166,3.364296546,3.070462499,1.458141101,-3.295521168,2.19808651,0.793490807,0.148135707,0.657546866,1.204481604,0.507122106,0.936883741,0.641284066,2.161569653,0.491609145,-3.08915996
Channel Islands,CHI,5.194985338,-1.947607641,-1.957050271,-3.511120538,-0.20935694,0.741424685,3.973999005,4.771853676,,,,,,,,,,,,,
Chile,CHL,4.094314573,2.146176048,2.000585088,3.005876123,6.102812658,4.646759137,5.200380038,3.790320755,2.42625274,-2.60145285,4.750242103,5.057708365,4.309193989,3.031573491,0.692522609,1.105984398,0.372098731,-0.247251359,2.281121035,-0.245035757,-6.580755715
China,CHN,7.638597676,7.551654832,8.404879975,9.354776644,9.46155877,10.74137513,12.09330469,13.6358205,9.090280102,8.855947676,10.10283262,8.953816042,7.134523777,7.050734134,6.750760316,6.420736477,6.238215448,6.301863101,6.251700556,5.574533127,2.116522893
Cote d'Ivoire,CIV,-2.824123317,-4.466867772,-4.86717039,-6.7184065,1.055476898,-1.117011973,0.620555975,-1.094158153,2.46143775,1.26063516,4.382534214,-7.601147827,5.030511965,8.050729461,6.666800232,4.524288973,4.495184281,4.658899564,4.19662142,3.557682501,-0.599377217
Cameroon,CMR,1.146271348,1.60649699,1.738925559,2.670941252,4.205363391,-0.504706541,1.016808764,1.505795954,0.05706806,-0.205524125,0.110124732,0.584593186,1.807053386,2.179930417,2.902004572,2.870787848,1.791287977,0.845720712,1.275063726,0.835333751,-2.042454665
"Congo, Dem. Rep.",COD,-9.255088418,-4.774061372,-0.031233235,2.387605672,3.433203146,2.808807555,1.984858623,2.84986165,2.783849498,-0.500569834,3.59883861,3.366413489,3.571784034,4.927569975,5.895884453,3.442598056,-0.9077236,0.401473698,2.461092711,1.110159543,-1.412051028
"Congo, Rep.",COG,4.514999989,0.882969248,1.661302863,-2.043400003,0.424242129,4.415301449,4.457919147,-9.769647751,2.719163466,8.030957924,6.630090035,-0.610460762,7.135091084,-3.129997904,4.143745289,-5.916645656,-13.02042962,-6.80921641,-7.231557962,-2.614952335,-10.2397571
Colombia,COL,1.287367824,0.096779498,0.950680914,2.393939659,3.850805348,3.423322226,5.350402516,5.428634847,2.075784094,0.020713246,3.402533132,5.917244264,2.981272873,4.184821897,3.448395232,1.757883717,0.700688638,-0.163409332,1.012856042,1.889274487,-7.791201023
Comoros,COM,8.087708026,-0.159075311,-0.116026509,-0.300382846,-0.472396639,0.41719798,0.221484934,-1.587427951,1.530944452,0.743854432,1.324944611,1.612628819,0.735693019,2.013053682,-0.303825605,-1.230860462,0.962061037,1.482339326,1.347332748,-0.465278932,-2.276950715
Cabo Verde,CPV,12.223792,0.466478979,3.527262514,2.562415823,8.58159186,5.43126348,6.571266989,13.74131827,5.368751811,-2.451325536,0.235744952,2.673803055,-0.195107704,-0.477378625,-0.657599484,-0.237387479,3.444133442,2.475169431,3.326801469,4.481830156,-15.71099847
Costa Rica,CRI,1.851802693,1.651631397,1.731106373,2.735632301,2.914440846,2.512478291,5.846817278,6.760552891,3.365398682,-2.136805798,4.056807725,3.147663007,3.653958913,1.325289728,2.391709165,2.531383286,3.108306775,3.092566338,1.600140073,1.281513711,-4.940398899
Caribbean small states,CSS,3.01569955,1.32013939,2.871437281,4.872758186,3.234814142,2.924018004,6.093185503,2.628760555,0.609320372,-4.201327068,0.66381921,0.431628679,0.616752382,-0.091944682,-0.002705787,0.386837468,-1.783749054,-0.534163388,1.263453511,0.039175534,-8.666040198
Cuba,CUB,5.517333145,2.831491929,1.107967859,3.519873983,5.571376329,11.09089503,12.06929637,7.358653772,4.247861543,1.544057101,2.398360498,2.703145906,2.827842758,2.514381705,0.831422267,4.273361609,0.422151607,1.771820723,2.258481461,-0.123773042,-10.89434366
Curacao,CUW,,3.007946789,0.274293259,-1.758683522,-1.505339407,-1.858439086,-0.9409622,0.466172919,0.910343817,-1.176897717,-1.176269268,-0.806884969,-0.964264113,-1.912431969,-2.462195476,-1.035883986,-2.030879105,-2.05324118,-1.650976838,-2.237297707,-17.12241733
Cayman Islands,CYM,,,,,,,,0.102081391,-3.235533292,-9.69320823,-5.034790696,-0.93727918,-0.634729366,-0.359848582,1.110863557,1.378620263,1.848900542,1.852363286,2.911639275,2.576691617,-7.825908519
Cyprus,CYP,4.844161198,2.838122661,2.54106759,1.383618051,3.630811322,3.353765178,2.981298759,2.884107512,1.076565215,-4.610654068,-0.618672408,-2.127828575,-4.906834837,-6.335598219,-0.742815124,3.973377407,5.967386314,4.872486957,4.411385807,3.864532641,-6.516627349
Czech Republic,CZE,4.293071465,3.430857546,1.76597432,3.613338965,4.782365794,6.454261737,6.478203603,4.956085333,1.838240193,-5.198981919,2.136880484,1.55018979,-0.92373445,-0.079052895,2.154500479,5.181402654,2.340552261,4.889722042,2.854108113,2.624557435,-6.035773782
Germany,DEU,2.773221251,1.510558261,-0.365628327,-0.755077167,1.197055352,0.788917116,3.933610331,3.114245883,1.152029742,-5.454577169,4.339606777,5.869635737,0.230160993,0.163870563,1.784341886,0.617105353,1.408102075,2.297206047,0.782690047,0.827864779,-4.738789048
Djibouti,DJI,,,,,,,,,,,,,,,5.225655191,5.894352044,4.917151591,3.7303378,6.731900604,6.150547468,-0.969351783
Dominica,DMA,2.6017636,-0.093967152,-3.063137326,5.955651716,2.633433603,0.380620254,4.455221701,6.234296721,7.072661512,-1.196094959,0.631443233,-0.2727973,-1.117566667,-1.090550241,4.342163901,-2.805951872,2.36664739,-6.998975795,1.977413963,7.298747974,-16.81690055
Denmark,DNK,3.400684546,0.462534295,0.145880727,0.117358167,2.403233997,2.055110516,3.572063464,0.462731494,-1.094842128,-5.414013999,1.419486631,0.920393685,-0.149916088,0.513424428,1.105433466,1.622166258,2.443368874,2.162355113,1.485085157,1.749614095,-2.347336032
Dominican Republic,DOM,3.079984528,0.942844621,2.981566664,-2.742901918,1.151470008,7.95089605,7.736422901,6.033693331,1.908505747,-0.304580775,7.016783452,1.89221321,1.500005264,3.650818788,5.81878933,5.715518778,5.468634895,3.518071155,5.834537488,3.958404175,-7.657060908
Algeria,DZA,2.399496544,1.659672589,4.262072013,5.840905136,2.934541622,4.43825778,0.214792143,1.808252618,0.738194545,-0.134681878,1.746790655,0.980209993,1.40174756,0.76169938,1.710454903,1.600493697,1.104570156,-0.750456692,-0.909245791,-0.934555885,-6.826963623
East Asia & Pacific (excluding high income),EAP,6.584030756,5.998147937,7.121942268,8.043381018,8.251249963,9.114265347,10.24486272,11.68370283,7.842942223,7.220852072,9.155304282,7.833653302,6.665931914,6.400290532,6.115974027,5.86799177,5.782767162,5.894276264,5.817373954,5.171136486,0.893428496
Early-demographic dividend,EAR,2.540073457,-0.7804635,0.053494226,3.64037559,4.521550604,4.184054371,4.298386765,4.114035606,1.942939205,-0.656353593,4.950187223,3.482110638,2.474731565,2.858252928,2.781338788,3.045255504,3.279253254,3.189090816,2.33108259,0.995396759,-5.703913309
East Asia & Pacific,EAS,4.413756828,2.386651581,3.512873182,4.124043592,5.070838553,5.120082726,5.681893438,6.72321406,3.652496462,1.857505301,6.890586765,4.727955658,4.34747181,4.423467668,3.960791767,3.95913977,3.927429193,4.311128151,4.090181116,3.51155498,-0.562730744
Europe & Central Asia (excluding high income),ECA,8.00100579,2.882971827,5.590658107,6.596717108,8.321257572,7.073493199,8.021672565,7.573895842,4.232752345,-6.105653018,4.489005763,5.43864844,3.285752964,3.389107493,1.510865249,0.394147554,1.14747785,3.548597694,2.724352324,1.855659397,-1.88462156
Europe & Central Asia,ECS,4.147376058,2.057930928,1.450740681,1.509782244,2.874156051,2.341457333,3.568997563,3.232294875,0.596396409,-4.77683667,2.260870636,2.105638068,-0.053827245,0.41742806,1.393620112,1.633700533,1.499595707,2.398394766,1.791845498,1.497054177,-5.850925099
Ecuador,ECU,-0.813578256,2.134705573,2.284631765,0.984821248,6.406664248,3.54392893,2.669282015,0.494765341,4.607021102,-1.058101365,1.892865177,6.221016513,4.070286801,3.387267007,2.198973161,-1.50763432,-2.898018796,0.573913174,-0.483429078,-1.653249634,-9.15874487
"Egypt, Arab Rep.",EGY,4.336347588,1.585496664,0.481792741,1.293196394,2.203154341,2.602210695,4.967393052,5.228311412,5.26715476,2.740086897,3.080841972,-0.363927634,-0.012958454,-0.105970986,0.61685131,2.093735794,2.1320153,2.025579951,3.194420749,3.492046874,1.599848592
Euro area,EMU,3.524133442,1.803227862,0.448128539,0.137742246,1.73215823,1.156413351,2.749185038,2.467715281,-0.071744118,-4.830322888,1.938426221,1.940418519,-1.060821003,-0.558393357,1.054078745,1.754028443,1.567348354,2.392522403,1.605743973,1.47504789,-6.576462987
Eritrea,ERI,-5.465863683,4.985964341,-1.409375668,-7.143403191,-2.981009491,-1.302738235,-4.076212654,-1.224523811,-11.73424709,1.974114433,0.565852074,7.207773128,,,,,,,,,
Spain,ESP,4.776451415,3.214081018,1.290050047,1.136253252,1.35870928,1.915695738,2.357813153,1.704522023,-0.709567924,-4.611871706,-0.297088607,-1.166192626,-3.02242537,-1.111898854,1.687449704,3.915768451,2.94434856,2.732360583,1.841757858,1.357962949,-11.2335321
Estonia,EST,9.556418469,6.681033541,7.449840428,8.277712285,7.444416375,10.15499479,10.41473423,8.071025334,-4.877286528,-14.46432838,2.678164039,7.589211665,3.59836216,1.820154161,3.281874814,1.786274694,3.125538305,5.664039082,3.772023311,3.710285764,-3.254306892
Ethiopia,ETH,3.059110082,5.227320231,-1.354735386,-4.91130019,10.40753064,8.733089642,7.808741741,8.437275283,7.793016544,5.843986301,9.460612488,8.094846233,5.616571431,7.499868081,7.213184252,7.391468863,6.509712037,6.684559618,4.053940151,5.604369736,3.395270066
European Union,EUU,3.775676265,2.040318047,0.878192623,0.549766283,2.207741969,1.563431343,3.158155206,2.80890868,0.318885923,-4.5738622,2.1070093,2.039328841,-0.852667603,-0.274475759,1.322187017,2.088224211,1.79216798,2.652687755,1.899147548,1.752866354,-6.08266069
Fragile and conflict affected situations,FCS,3.0020883,1.520034158,2.179642519,-2.617359473,8.607778194,3.904048892,3.814662952,3.858203504,3.438055751,3.205657712,4.627017355,-2.117075838,2.561215087,2.115183211,1.216326256,-0.755258962,-0.12332153,-0.33500394,0.485179888,0.757932906,-6.914519895
Finland,FIN,5.553997853,2.37665487,1.460928622,1.76083857,3.690587797,2.428689227,3.628941348,4.852313276,0.315886377,-8.513028487,2.714966735,2.073396315,-1.865591174,-1.357215611,-0.776108383,0.21302942,2.516379895,2.950531373,1.00788071,1.109278713,-2.96029271
Fiji,FJI,-2.270760967,1.635071277,3.031133592,0.898390186,5.070052183,0.241362805,1.081948792,-1.836711174,-0.063278625,-2.342562043,2.214677033,2.272769687,1.222105639,4.669244737,5.500525357,4.238331894,2.002475447,4.746549918,3.103810437,-1.168767515,-16.32193256
France,FRA,3.214280673,1.24418882,0.402714806,0.111081739,2.075364595,0.89976454,1.737540033,1.792982211,-0.303759657,-3.371737206,1.447008132,1.699612965,-0.17120673,0.05991638,0.479077572,0.754024352,0.829056665,1.994998447,1.585878806,1.620358453,-8.050310081
Faroe Islands,FRO,,,,,,,,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",FSM,5.189190234,2.391633294,0.681339667,1.690882858,-2.827454617,2.512008711,0.640548868,-0.960209391,-1.566869624,1.66055815,2.314039053,2.657908896,-2.860302471,-4.967408213,-3.689665114,3.236354581,-0.316499162,1.534322533,-0.837259216,0.133812945,-2.798825118
Gabon,GAB,-4.223428104,-0.271911474,-2.595249372,-0.203297917,-1.827494702,-0.038249644,-5.497409724,2.954273423,-6.235720923,-3.085416602,3.448828772,3.24685306,1.338142101,1.720683274,0.619753592,0.471417196,-0.969040474,-2.297541168,-1.753505227,1.371169209,-4.181858235
United Kingdom,GBR,3.302607784,1.680456503,1.691811111,2.551255625,1.774937925,1.891275729,1.832826085,1.476241412,-1.021703087,-4.96888827,1.333971159,0.667756093,0.766760919,1.209899645,2.235458153,1.812661638,1.491364299,1.442929368,1.036855219,1.099995912,-9.906992784
Georgia,GEO,3.838100069,6.443911043,6.424463063,11.81131435,6.451674622,10.28800429,10.04357676,13.16775225,2.730182663,-2.790940254,7.027385327,8.264988721,7.155378254,3.933646408,4.382901471,2.860094243,2.844902055,4.828569855,4.883854929,5.162618817,-6.605768592
Ghana,GHA,1.190821384,1.483403745,1.973759244,2.645163527,3.008590532,3.267291612,3.716463153,1.689117911,6.371072784,2.21106719,5.249330641,11.31541073,6.733555677,4.847518058,0.525773601,-0.170049025,1.076960521,5.754348517,3.89661431,4.229181264,-1.702517021
Gibraltar,GIB,,,,,,,,,,,,,,,,,,,,,
Guinea,GIN,0.189608638,1.486591648,3.094712681,-0.683348241,0.360763118,0.918509748,-0.96124504,4.452467487,1.773827012,-3.362002836,2.471781262,3.298362323,3.612712136,1.647934006,1.295929288,1.272744537,7.92853485,7.292111815,3.387515218,2.6933842,4.04316299
"Gambia, The",GMB,2.250232431,2.504655437,-6.294780752,3.504378695,3.716660241,-5.33865336,-3.536144128,0.001805761,3.146012797,3.540486994,2.78270338,-10.86161369,2.099381776,-0.2017194,-4.346060998,0.973886804,-1.058018639,1.75610362,4.121817763,3.09684345,-3.063275248
Guinea-Bissau,GNB,3.30564338,0.040375274,-3.143850844,-1.691837615,0.399087996,1.828782902,-0.115545092,0.778358963,0.679283268,0.792691755,1.953241875,5.291510584,-4.283799432,0.544735071,-1.670703692,3.398630327,3.566521842,3.270713428,-1.210551693,1.964201464,-4.734913754
Equatorial Guinea,GNQ,13.45250536,56.78893599,14.61346907,9.261755057,32.17060875,11.67424809,2.904220783,10.06409587,12.44132618,-3.237158524,-12.9827464,1.858554846,3.656596131,-8.160645827,-3.68833399,-12.7113392,-12.31359342,-9.167724698,-9.600231963,-9.23893173,-8.079632568
Greece,GRC,3.495563747,3.591652695,3.542623077,5.542360362,4.80137907,0.304567957,5.335601862,3.010984078,-0.599389805,-4.552117048,-5.600368519,-10.01628121,-6.582904449,-1.806551373,1.147211957,0.463652786,-0.072424584,1.29229029,1.874903163,1.910891048,-8.967905616
Grenada,GRD,4.4718151,-2.408242852,3.044078851,9.077703052,-0.974036142,12.93849632,-4.251491961,5.87626038,0.685259166,-6.904598969,-0.923352377,0.237495487,-1.767795656,1.670160948,6.62647792,5.760411235,3.118698122,3.863139197,3.761292371,0.238209643,-14.10422464
Greenland,GRL,6.911024645,0.999463557,-1.424258359,4.143053963,6.632323711,4.943236044,5.855030281,2.748781079,6.593978749,0.874906571,0.695314556,-0.470283635,1.536976945,-0.726861643,5.091927333,-2.214918882,4.547808581,0.077664774,2.116719461,1.313471181,
Guatemala,GTM,1.117529132,-0.096568126,1.48038852,0.348007859,0.968363113,1.152934092,3.238219371,4.25714893,1.321659783,-1.395470656,1.01189486,2.28579517,1.16050889,1.888642581,2.653911909,2.346295146,0.989365749,1.415648841,1.681706931,2.258711898,-3.004903397
Guam,GUM,,,,0.527535239,6.243879975,3.438180125,-3.800091091,0.591037617,1.913329816,0.315683902,2.130483334,-0.079646769,1.942337691,1.420992009,1.418773248,0.299915105,-0.492462435,0.07146292,-1.611965062,1.604283733,-12.62715267
Guyana,GUY,-0.973072906,2.487043655,1.18925012,-0.679299402,1.482317919,-2.006016522,5.104395201,7.170845585,1.560015951,3.751076345,3.541128971,4.975326952,4.915011853,3.122050545,1.141212887,0.154585161,3.279030206,3.21852431,3.933024572,4.845497408,42.78930049
High income,HIC,3.473402384,0.81155131,0.909141156,1.594436379,2.69788901,2.217815408,2.379283822,1.949665053,-0.426589654,-3.915842574,2.30675777,1.460093994,0.788328152,0.910056267,1.543248148,1.906890613,1.240919062,1.859085481,1.87081877,1.355718684,-4.812636993
"Hong Kong SAR, China",HKG,6.718478978,-0.177491526,1.207464663,3.259892525,7.855590954,6.92005191,6.347375637,5.553520094,1.518772106,-2.668971775,5.986389842,4.112123308,0.58377083,2.687928447,2.043132352,1.519978171,1.538646571,3.017315978,2.027927692,-2.418395612,-5.760112706
Honduras,HND,4.396736963,0.024209647,1.098739428,1.942219727,3.655901373,3.547847381,4.120046637,3.819035508,1.979591927,-4.464506794,1.652306417,1.837464552,2.200268026,0.947637134,1.250739368,2.04738682,2.123580991,3.083615218,2.128163573,0.98266168,-10.42150115
Heavily indebted poor countries (HIPC),HPC,-0.049019496,1.012441417,0.43940097,0.903787341,2.696451209,2.661167833,2.955671384,2.58064184,2.766255344,0.874366249,3.17249365,1.565126812,1.06063893,2.808308753,2.885714261,1.895085292,1.558450183,2.138233554,1.519481799,1.622109983,-2.272851742
Croatia,HRV,3.915520235,7.074104789,5.659852568,5.495907848,4.120278742,4.178203319,4.913674655,4.935740218,1.907548898,-7.184268663,-1.026461832,0.260322579,-1.976549571,-0.085232837,0.060814841,3.374092807,4.258016342,4.66317567,3.823527345,4.056979224,-7.689829692
